==8340== NVPROF is profiling process 8340, command: ./test
==8340== Profiling application: ./test
==8340== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream          Src Dev   Src Ctx          Dst Dev   Dst Ctx        Unified Memory  Virtual Address  Name
5.68365s  2.3360us              (4 1 1)       (256 1 1)        22        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  create_subdomain_update_zone_new_ [737]
5.68365s     864ns                    -               -         -         -         -        4B  4.4152MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.68367s     832ns                    -               -         -         -         -        4B  4.5850MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.68590s  4.5120us              (1 1 1)       (256 1 1)        32        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  create_subdomain_column_sum_ [740]
5.68590s  1.5680us              (1 1 1)       (128 1 1)         9        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__scan::InitAgent<cub::ScanTileState<__int64, bool=1>, int>, cub::ScanTileState<__int64, bool=1>, int>(bool=1, cub::ScanTileState<__int64, bool=1>) [766]
5.68591s  6.7520us              (1 1 1)        (96 1 1)        32        0B  2.0781KB         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__scan::ScanAgent<thrust::device_ptr<__int64>, thrust::device_ptr<int>, thrust::plus<int>, int, __int64, thrust::detail::integral_constant<bool, bool=1>>, thrust::device_ptr<__int64>, thrust::device_ptr<int>, thrust::plus<int>, int, cub::ScanTileState<__int64, bool=1>, thrust::cuda_cub::__scan::DoNothing<__int64>>(thrust::device_ptr<__int64>, int, thrust::device_ptr<int>, int, thrust::plus<int>, int) [774]
5.68816s  3.8080us              (4 1 1)       (256 1 1)        32        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  create_subdomain_build_tree_ [784]
5.68817s  2.4000us              (4 1 1)       (256 1 1)        22        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  create_subdomain_update_zone_new_ [785]
5.68817s     832ns                    -               -         -         -         -        4B  4.5850MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.68819s     832ns                    -               -         -         -         -        4B  4.5850MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.68820s     864ns                    -               -         -         -         -        4B  4.4152MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.68821s     864ns                    -               -         -         -         -        4B  4.4152MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.69062s  1.0240us                    -               -         -         -         -      240B  223.52MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.69287s  1.0560us                    -               -         -         -         -      240B  216.74MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.69512s     768ns                    -               -         -         -         -      240B  298.02MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.69738s     736ns                    -               -         -         -         -      240B  310.98MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.69963s     736ns                    -               -         -         -         -      240B  310.98MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.70188s     992ns                    -               -         -         -         -      240B  230.73MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.70413s     736ns                    -               -         -         -         -      240B  310.98MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.70639s     768ns                    -               -         -         -         -      192B  238.42MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.70864s  1.0240us                    -               -         -         -         -      192B  178.81MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.71064s  162.27us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -                    14   0x7fbf62002000  [Unified Memory GPU page faults]
5.71076s  2.3040us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -            8.000000KB   0x7fbf62000000  [Unified Memory Memcpy HtoD]
5.71077s  1.0880us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -            4.000000KB   0x7fbf62002000  [Unified Memory Memcpy HtoD]
5.71077s  6.1440us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -           52.000000KB   0x7fbf62003000  [Unified Memory Memcpy HtoD]
5.71089s     768ns                    -               -         -         -         -      288B  357.63MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.71090s  164.33us              (2 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [819]
5.71092s  3.6480us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -            8.000000KB   0x7fbf62000000  [Unified Memory Memcpy DtoH]
5.71093s  1.6320us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -            4.000000KB   0x7fbf62002000  [Unified Memory Memcpy DtoH]
5.71093s  7.8720us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -           52.000000KB   0x7fbf62003000  [Unified Memory Memcpy DtoH]
5.71107s         -                    -               -         -         -         -         -           -           -           -                -         -         -                -         -                -         -         PC 0x8aab3308   0x7fbf62002000  [Unified Memory CPU page faults]
5.71109s  1.3440us                    -               -         -         -         -  1.9766KB  1.4025GB/s      Device     Managed  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoD]
5.71947s  23.553ms             (83 1 1)       (256 1 1)        40        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  mrand_createrand_init_ [822]
5.74303s  2.2720us                    -               -         -         -         -      400B  167.90MB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.74305s  19.457us                    -               -         -         -         -  197.66KB  9.6880GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.74308s  50.306us                    -               -         -         -         -  197.66KB  3.7471GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.74314s  19.937us                    -               -         -         -         -  197.66KB  9.4548GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.74528s     768ns                    -               -         -         -         -        8B  9.9341MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.74753s     768ns                    -               -         -         -         -      176B  218.55MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.74978s     768ns                    -               -         -         -         -      192B  238.42MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.74979s  2.8497ms                    -               -         -         -         -  28.992MB  9.9351GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.75278s  1.0240us                    -               -         -         -         -      176B  163.91MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.75503s     736ns                    -               -         -         -         -      128B  165.86MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.75503s  66.147us             (83 1 1)       (256 1 1)        84        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  add_particles_add_init_particles_ [836]
5.75709s  159.58us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -                     1   0x7fbf62000000  [Unified Memory GPU page faults]
5.75722s  1.6000us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -            4.000000KB   0x7fbf62000000  [Unified Memory Memcpy HtoD]
5.75722s     992ns                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -            4.000000KB   0x7fbf62001000  [Unified Memory Memcpy HtoD]
5.75722s  1.0560us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -            4.000000KB   0x7fbf62002000  [Unified Memory Memcpy HtoD]
5.75722s  5.0560us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -           52.000000KB   0x7fbf62003000  [Unified Memory Memcpy HtoD]
5.75735s     768ns                    -               -         -         -         -      128B  158.95MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.75735s  162.66us              (2 1 1)       (256 1 1)        17        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  compact_array_scan_zone_ [905]
5.75976s  2.4960us                    -               -         -         -         -       16B  6.1133MB/s     Managed      Pinned  NVIDIA GeForce          1        16                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.76202s  2.3360us                    -               -         -         -         -       16B  6.5320MB/s     Managed      Pinned  NVIDIA GeForce          1        16                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.76427s  2.3360us                    -               -         -         -         -       16B  6.5320MB/s     Managed      Pinned  NVIDIA GeForce          1        16                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.76652s  566.27ms            (782 1 1)       (256 1 1)        40        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  mrand_createrand_loop_ [926]
6.33279s  21.889us                    -               -         -         -         -  206.25KB  8.9860GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.33283s  52.131us                    -               -         -         -         -  206.64KB  3.7802GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.33290s  21.409us                    -               -         -         -         -  201.61KB  8.9808GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.33293s  21.217us                    -               -         -         -         -  197.66KB  8.8844GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.33297s  20.833us                    -               -         -         -         -  197.66KB  9.0481GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.33504s  1.1200us                    -               -         -         -         -  3.9531KB  3.3661GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.33729s  1.4400us              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [933]
6.33730s     960ns              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [934]
6.33730s     896ns              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [935]
6.33730s  1.2800us              (1 1 1)       (256 1 1)         8        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_4n [936]
6.33730s     896ns              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [937]
6.33730s     896ns              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [938]
6.33730s     896ns              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [939]
6.33731s     896ns              (1 1 1)       (256 1 1)         8        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_4n [940]
6.33731s     896ns              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [941]
6.33731s     896ns              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [942]
6.33731s     896ns              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [943]
6.33731s  1.5360us              (1 1 1)       (256 1 1)        14        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_16n [944]
6.33731s  4.4490us            (890 1 1)       (256 1 1)        14        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_16n [945]
6.33957s     768ns                    -               -         -         -         -      128B  158.95MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.34182s     736ns                    -               -         -         -         -      128B  165.86MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.34407s     768ns                    -               -         -         -         -      128B  158.95MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.34407s  46.978us             (83 1 1)       (256 1 1)        30        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  add_particles_scan_new_particles_ [952]
6.34637s  1.4720us              (1 1 1)       (128 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__scan::InitAgent<cub::ScanTileState<int, bool=1>, int>, cub::ScanTileState<int, bool=1>, int>(bool=1, cub::ScanTileState<int, bool=1>) [981]
